Curso,Área
Administração (Noturno),Ciências Humanas/Artes
Administração Pública (Noturno),Ciências Humanas/Artes
Arquitetura e Urbanismo (Noturno),Ciências Humanas/Artes
Artes Cênicas (Integral),Ciências Humanas/Artes
Artes Visuais (Integral),Ciências Humanas/Artes
Comunicação Social - Midialogia (Integral),Ciências Humanas/Artes
Ciências Econômicas (Integral),Ciências Humanas/Artes
Ciências Econômicas (Noturno),Ciências Humanas/Artes
Ciências Sociais (Integral),Ciências Humanas/Artes
Ciências Sociais (Noturno),Ciências Humanas/Artes
Dança (Integral),Ciências Humanas/Artes
Estudos Literários (Integral),Ciências Humanas/Artes
Filosofia (Integral),Ciências Humanas/Artes
Geografia (Integral),Ciências Humanas/Artes
Geografia (Noturno),Ciências Humanas/Artes
História (Integral),Ciências Humanas/Artes
Letras - Licenciatura (Integral),Ciências Humanas/Artes
Letras - Licenciatura (Noturno),Ciências Humanas/Artes
Linguística (Integral),Ciências Humanas/Artes
Música (Integral),Ciências Humanas/Artes
Pedagogia - Licenciatura (Integral),Ciências Humanas/Artes
Pedagogia - Licenciatura (Noturno),Ciências Humanas/Artes
Treineiros(as) de Ciências Humanas/Artes,Ciências Humanas/Artes
Ciências Biológicas (Integral),Ciências Biológicas/Saúde
Ciências Biológicas - Licenciatura (Noturno),Ciências Biológicas/Saúde
Ciências do Esporte (Integral),Ciências Biológicas/Saúde
Educação Física (Integral),Ciências Biológicas/Saúde
Educação Física (Noturno),Ciências Biológicas/Saúde
Enfermagem (Integral),Ciências Biológicas/Saúde
Farmácia (Integral),Ciências Biológicas/Saúde
Fonoaudiologia (Integral),Ciências Biológicas/Saúde
Medicina (Integral),Ciências Biológicas/Saúde
Nutrição (Integral),Ciências Biológicas/Saúde
Odontologia (Integral),Ciências Biológicas/Saúde
Treineiros(as) de Ciências Biológicas/Saúde,Ciências Biológicas/Saúde
Ciência da Computação (Noturno),Ciências Exatas/Tecnológicas
Curso S1: Engenharia Física/Física/Física Médica e Biomédica/Matemática/Matemática Aplicada e Computacional (Integral),Ciências Exatas/Tecnológicas
Engenharia Agrícola (Integral),Ciências Exatas/Tecnológicas
Engenharia Ambiental (Noturno),Ciências Exatas/Tecnológicas
Engenharia Civil (Integral),Ciências Exatas/Tecnológicas
Engenharia de Alimentos (Integral),Ciências Exatas/Tecnológicas
Engenharia de Alimentos (Noturno),Ciências Exatas/Tecnológicas
Engenharia de Computação (Integral),Ciências Exatas/Tecnológicas
Engenharia de Controle e Automação (Noturno),Ciências Exatas/Tecnológicas
Engenharia de Manufatura (Integral),Ciências Exatas/Tecnológicas
Engenharia de Produção (Integral),Ciências Exatas/Tecnológicas
Engenharia de Telecomunicações (Integral),Ciências Exatas/Tecnológicas
Engenharia de Transportes (Noturno),Ciências Exatas/Tecnológicas
Engenharia Elétrica (Integral),Ciências Exatas/Tecnológicas
Engenharia Elétrica (Noturno),Ciências Exatas/Tecnológicas
Engenharia Mecânica (Integral),Ciências Exatas/Tecnológicas
Engenharia Química (Integral),Ciências Exatas/Tecnológicas
Engenharia Química (Noturno),Ciências Exatas/Tecnológicas
Estatística (Integral),Ciências Exatas/Tecnológicas
Física - Licenciatura (Noturno),Ciências Exatas/Tecnológicas
Geologia (Integral),Ciências Exatas/Tecnológicas
Licenciatura Integrada Química/Física (Noturno),Ciências Exatas/Tecnológicas
Matemática - Licenciatura (Noturno),Ciências Exatas/Tecnológicas
Química (Integral),Ciências Exatas/Tecnológicas
Química Tecnológica (Noturno),Ciências Exatas/Tecnológicas
Sistemas de Informação (Integral),Ciências Exatas/Tecnológicas
Tecnologia em Análise e Desenvolvimento de Sistemas (Noturno),Ciências Exatas/Tecnológicas
Tecnologia em Saneamento Ambiental (Noturno),Ciências Exatas/Tecnológicas
Treineiros(as) de Ciências Exatas/Tecnológicas,Ciências Exatas/Tecnológicas
